spcode,rep,bag_w,wet_weight,dry_weight,MC_dry,hour,bd,type
AbCaPi,1,7.5,20.3,13.5,113.3333333,0,0.045955882,Mixture
AbCaPi,2,7.4,22.2,14.4,111.4285714,0,0.045955882,Mixture
AbCaPi,3,7.1,22.4,14.3,112.5,0,0.047540568,Mixture
AbCaPi,4,7.2,25.1,16.3,96.7032967,0,0.046734796,Mixture
AbCaPi,5,7.2,26.6,17,97.95918367,0,0.047540568,Mixture
AbCaPi,6,6.9,25.9,16.5,97.91666667,0,0.046734796,Mixture
AbCaPi,1,6.9,23.6,17.3,60.57692308,24,0.044473435,Mixture
AbCaPi,2,6.6,23.6,17.2,60.37735849,24,0.042420814,Mixture
AbCaPi,3,6.8,24.1,16.1,86.02150538,24,0.04308364,Mixture
AbCaPi,4,6.6,24.6,17,73.07692308,24,0.04308364,Mixture
AbCaPi,5,6.9,24.6,18.3,55.26315789,24,0.043767507,Mixture
AbCaPi,6,7.1,28.8,20.8,58.39416058,24,0.043767507,Mixture
AbCaPi,1,6.6,22.9,17.2,53.77358491,48,0.040549308,Mixture
AbCaPi,2,6.9,23.2,17.7,50.92592593,48,0.039390756,Mixture
AbCaPi,3,7.2,23.7,17.6,58.65384615,48,0.040549308,Mixture
AbCaPi,4,7.1,28.5,21.1,52.85714286,48,0.041154522,Mixture
AbCaPi,1,6.7,19.4,14.8,56.79012346,72,0.038296569,Mixture
AbCaPi,2,7.1,28.6,22.6,38.70967742,72,0.037261526,Mixture
AbCaPi,3,7.1,26.3,21,38.1294964,72,0.036764706,Mixture
AbCaPi,4,6.8,18.6,15.4,37.20930233,72,0.038296569,Mixture
AbCaPi,5,6.9,19.8,16.1,40.2173913,72,0.037261526,Mixture
AbCaPi,1,7.1,24.5,20.2,32.82442748,96,0.036764706,Mixture
AbCaPi,2,6.9,21.8,19.1,22.13114754,96,0.035350679,Mixture
AbCaPi,3,6.9,21.6,17.9,33.63636364,96,0.036764706,Mixture
AbCaPi,4,6.6,16.4,14.4,25.64102564,96,0.034903202,Mixture
AbCaPi,5,6.9,19.1,16.7,24.48979592,96,0.035350679,Mixture
AbCaPi,6,6.8,17.3,15.2,25,96,0.035350679,Mixture
AbCaQu,1,10.7,28.5,18,143.8356164,0,0.047540568,Mixture
AbCaQu,2,7.4,26.6,15.2,146.1538462,0,0.047540568,Mixture
AbCaQu,3,7,25.8,14.1,164.7887324,0,0.049238445,Mixture
AbCaQu,4,10.4,26.5,17.2,136.7647059,0,0.047540568,Mixture
AbCaQu,5,6.7,29.9,16.1,146.8085106,0,0.048374613,Mixture
AbCaQu,6,6.8,28.7,15.8,143.3333333,0,0.047540568,Mixture
AbCaQu,1,7.2,24.4,16.9,77.31958763,24,0.045955882,Mixture
AbCaQu,2,7,23.3,15.9,83.14606742,24,0.04308364,Mixture
AbCaQu,3,7.1,26.1,15.9,115.9090909,24,0.044473435,Mixture
AbCaQu,4,6.8,24.2,15.2,107.1428571,24,0.043767507,Mixture
AbCaQu,5,6.9,31.2,15.5,182.5581395,24,0.044473435,Mixture
AbCaQu,6,10.2,24.1,20.2,39,24,0.044473435,Mixture
AbCaQu,1,7.4,22,15.4,82.5,48,0.041778075,Mixture
AbCaQu,2,7.1,21.7,15,84.81012658,48,0.040549308,Mixture
AbCaQu,3,6.6,23.5,16.1,77.89473684,48,0.041778075,Mixture
AbCaQu,4,6.8,22.4,15.5,79.31034483,48,0.042420814,Mixture
AbCaQu,1,7.1,19.2,14.1,72.85714286,72,0.038296569,Mixture
AbCaQu,2,7.2,24.7,17.7,66.66666667,72,0.037771958,Mixture
AbCaQu,3,7.4,22.9,16.2,76.13636364,72,0.038835957,Mixture
AbCaQu,4,6.9,21.3,15.5,67.44186047,72,0.037771958,Mixture
AbCaQu,1,6.9,18.8,13.9,70,96,0.037261526,Mixture
AbCaQu,2,6.9,20.9,15.5,62.79069767,96,0.035809778,Mixture
AbCaQu,3,7.2,19.6,14.8,63.15789474,96,0.036764706,Mixture
AbCaQu,4,6.8,18.2,13.8,62.85714286,96,0.036764706,Mixture
AbCaQu,5,6.6,18.8,14.2,60.52631579,96,0.035809778,Mixture
AbCaQu,6,6.9,19.4,15.1,52.43902439,96,0.035350679,Mixture
AbPiQu,1,7.4,28.3,14.4,198.5714286,0,0.030300582,Mixture
AbPiQu,2,7.4,29.3,14.1,226.8656716,0,0.029971228,Mixture
AbPiQu,3,7.2,25.6,14.3,159.1549296,0,0.030637255,Mixture
AbPiQu,4,7.1,25.7,14.3,158.3333333,0,0.029971228,Mixture
AbPiQu,5,6.3,28.9,14.5,175.6097561,0,0.030637255,Mixture
AbPiQu,6,6.7,30.1,15.8,157.1428571,0,0.030300582,Mixture
AbPiQu,1,7.1,23.8,15.1,108.75,24,0.028722426,Mixture
AbPiQu,2,6.9,23.5,14.6,115.5844156,24,0.027300524,Mixture
AbPiQu,3,7.4,25.9,15.4,131.25,24,0.02785205,Mixture
AbPiQu,4,6.9,27.8,16,129.6703297,24,0.02785205,Mixture
AbPiQu,5,7.1,24.7,15.8,102.2988506,24,0.027573529,Mixture
AbPiQu,6,6.8,23.9,15.4,98.8372093,24,0.028136255,Mixture
AbPiQu,7,7.1,24.1,14.8,120.7792208,24,0.027300524,Mixture
AbPiQu,8,7,23.4,14.7,112.987013,24,0.027300524,Mixture
AbPiQu,1,6.9,27.6,18.3,81.57894737,48,0.026260504,Mixture
AbPiQu,2,7.2,28.3,18.4,88.39285714,48,0.025769654,Mixture
AbPiQu,3,7.1,24.5,16.2,91.20879121,48,0.025296816,Mixture
AbPiQu,4,6.6,22.3,14.6,96.25,48,0.026012764,Mixture
AbPiQu,5,6.9,25.9,17.4,80.95238095,48,0.026012764,Mixture
AbPiQu,6,7.4,28.2,18.6,85.71428571,48,0.025531046,Mixture
AbPiQu,1,7.2,18.6,13.6,78.125,72,0.024187307,Mixture
AbPiQu,2,7.1,26.7,19.6,56.8,72,0.023976982,Mixture
AbPiQu,3,6.8,26.1,19.3,54.4,72,0.023976982,Mixture
AbPiQu,4,7.4,25.4,17.5,78.21782178,72,0.023770284,Mixture
AbPiQu,1,6.6,23.7,18.6,42.5,96,0.022058824,Mixture
AbPiQu,2,6.7,21.5,17.5,37.03703704,96,0.021883754,Mixture
AbPiQu,3,7.1,20.7,16.2,49.45054945,96,0.023770284,Mixture
AbPiQu,4,6.8,18.7,15.1,43.37349398,96,0.023770284,Mixture
AbPiQu,5,6.9,18.1,14.8,41.7721519,96,0.022058824,Mixture
AbPiQu,6,6.6,18.3,14.7,44.44444444,96,0.022601254,Mixture
CaPiQu,1,7.4,27.5,14,204.5454545,0,0.041154522,Mixture
CaPiQu,2,7.2,25.9,14,175,0,0.041778075,Mixture
CaPiQu,3,7.3,25.7,13,222.8070175,0,0.04308364,Mixture
CaPiQu,4,7,28.2,15.1,161.7283951,0,0.041778075,Mixture
CaPiQu,5,7.3,29.3,13.8,238.4615385,0,0.042420814,Mixture
CaPiQu,6,6.7,26.9,13.7,188.5714286,0,0.041154522,Mixture
CaPiQu,1,7.2,23.1,13.5,152.3809524,24,0.039961637,Mixture
CaPiQu,2,7.3,22.6,14.2,121.7391304,24,0.038296569,Mixture
CaPiQu,3,7.3,25.4,15,135.0649351,24,0.039390756,Mixture
CaPiQu,4,7.2,25.1,16.3,96.7032967,24,0.038835957,Mixture
CaPiQu,5,7.2,23.9,14.7,122.6666667,24,0.039390756,Mixture
CaPiQu,6,7,24.5,15.2,113.4146341,24,0.038835957,Mixture
CaPiQu,1,7.2,22.1,14.9,93.50649351,48,0.037261526,Mixture
CaPiQu,2,7.1,25.3,16.2,100,48,0.03628096,Mixture
CaPiQu,3,7.4,24.2,15.1,118.1818182,48,0.037261526,Mixture
CaPiQu,4,7.1,23.7,14.9,112.8205128,48,0.038296569,Mixture
CaPiQu,1,7.2,19.7,13.4,101.6129032,72,0.034041394,Mixture
CaPiQu,2,7.4,25.7,16.7,96.77419355,72,0.034041394,Mixture
CaPiQu,3,7.2,28.8,19.6,74.19354839,72,0.029024768,Mixture
CaPiQu,4,7.1,26.3,17.4,86.40776699,72,0.033626255,Mixture
CaPiQu,1,7.4,20.9,14.3,95.65217391,96,0.033626255,Mixture
CaPiQu,2,7.1,23.9,17.2,66.33663366,96,0.032062244,Mixture
CaPiQu,3,7.2,19.3,14.4,68.05555556,96,0.032062244,Mixture
CaPiQu,4,7.1,21.6,15.5,72.61904762,96,0.03282563,Mixture
CaPiQu,5,7.2,20.5,15.3,64.19753086,96,0.032062244,Mixture
CaPiQu,6,7.4,20.2,14.8,72.97297297,96,0.03282563,Mixture
