name,group,flash_point,spcode,replicate,%area
Geranyl-a-terpinene,NA,NA,pije,4,NA
Palmitoleic acid ,NA,239.2,pije,4,NA
Sclareol,labdane diterpenoid,169%,pije,4,NA
3-carene,bicyclic monoterpene,46,pila,1,NA
a-pinene,monoterpene,33,pila,1,NA
b-pinene,monoterpene,36,pila,1,NA
b-Myrcene,monoterpene,39.4,pila,1,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,1,NA
D-Limonene,cyclic monoterpene,50,pila,1,NA
c-Terpinene,cyclic monoterpene,100,pila,1,NA
2-Carene,bicyclic monoterpene,38,pila,1,NA
Terpinolene,cyclic monoterpene,100,pila,1,NA
Pinocarvone,bicyclic monoterpene,85,pila,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pila,1,NA
Crypton ,Ketone,87.2,pila,1,NA
Dodecanal,Fatty aldehyde,114,pila,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pila,1,NA
Eucarvone,monocyclic monoterpenoid,90,pila,1,NA
I-Verbenone,bicyclic ketone terpene,85,pila,1,NA
a-Citrylideneethanol,NA,104.5,pila,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pila,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pila,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,pila,1,NA
2-Undecanone,Ketone,88.9,pila,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pila,1,NA
Terpinyl acetate,methane monoterpenoid,83,pila,1,NA
delta-elemene,sesquiterpene,99.5,pila,1,NA
Ylangene,sesquiterpenoid,105.1,pila,1,11.06
Copaene,sesquiterpenoid,105.1,pila,1,NA
Thujopsene,sesquiterpene,105.9,pila,1,NA
cis-beta-elemene,sesquiterpene,98.3,pila,1,NA
Caryophyllene,sesquiterpene,104.9,pila,1,7.23
a-bergamotene,sesquiterpene,100.6,pila,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pila,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pila,1,6.05
(-)-Aristolene,sesquiterpene,99.9,pila,1,NA
Longifolene-(V4),sesquiterpene,95.6,pila,1,NA
Humulene,sesquiterpene,110.2,pila,1,NA
c-Muurolene,sesquiterpene,106.5,pila,1,NA
Germacrene D,sesquiterpene,111.9,pila,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pila,1,NA
a-selinene,sesquiterpene,102,pila,1,NA
a-cuparene,benzene,113.3,pila,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pila,1,NA
2-Hydroxycyclopentadecanone,NA,162.8,pila,1,NA
Dodecanoic acid,fatty acid,165,pila,1,NA
Hedycaryol,terpenoid,110.9,pila,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pila,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pila,1,NA
b-eudesmol,terpene alcohol,108.6,pila,1,NA
Z-11-Tetradecenoic acid,NA,235.3,pila,1,35.30
Z-11-Pentadecenol,NA,128.6,pila,1,NA
Hexahydrofarnesyl acetone,NA,95.1,pila,1,11.19
Geranyl-a-terpinene,NA,NA,pila,1,NA
Palmitoleic acid ,NA,239.2,pila,1,NA
Sclareol,labdane diterpenoid,169%,pila,1,NA
3-carene,bicyclic monoterpene,46,pila,2,NA
a-pinene,monoterpene,33,pila,2,NA
b-pinene,monoterpene,36,pila,2,NA
b-Myrcene,monoterpene,39.4,pila,2,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,2,NA
D-Limonene,cyclic monoterpene,50,pila,2,NA
c-Terpinene,cyclic monoterpene,100,pila,2,NA
2-Carene,bicyclic monoterpene,38,pila,2,NA
Terpinolene,cyclic monoterpene,100,pila,2,NA
Pinocarvone,bicyclic monoterpene,85,pila,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pila,2,NA
Crypton ,Ketone,87.2,pila,2,NA
Dodecanal,Fatty aldehyde,114,pila,2,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pila,2,NA
Eucarvone,monocyclic monoterpenoid,90,pila,2,NA
I-Verbenone,bicyclic ketone terpene,85,pila,2,NA
a-Citrylideneethanol,NA,104.5,pila,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pila,2,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pila,2,NA
Phellandral,monocyclic terpene aldehyde,83.6,pila,2,NA
2-Undecanone,Ketone,88.9,pila,2,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pila,2,NA
Terpinyl acetate,methane monoterpenoid,83,pila,2,NA
delta-elemene,sesquiterpene,99.5,pila,2,NA
Ylangene,sesquiterpenoid,105.1,pila,2,2.63
Copaene,sesquiterpenoid,105.1,pila,2,NA
Thujopsene,sesquiterpene,105.9,pila,2,NA
cis-beta-elemene,sesquiterpene,98.3,pila,2,NA
Caryophyllene,sesquiterpene,104.9,pila,2,NA
a-bergamotene,sesquiterpene,100.6,pila,2,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pila,2,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pila,2,6.40
(-)-Aristolene,sesquiterpene,99.9,pila,2,NA
Longifolene-(V4),sesquiterpene,95.6,pila,2,NA
Humulene,sesquiterpene,110.2,pila,2,NA
c-Muurolene,sesquiterpene,106.5,pila,2,NA
Germacrene D,sesquiterpene,111.9,pila,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pila,2,NA
a-selinene,sesquiterpene,102,pila,2,NA
a-cuparene,benzene,113.3,pila,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pila,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,pila,2,NA
Dodecanoic acid,fatty acid,165,pila,2,NA
Hedycaryol,terpenoid,110.9,pila,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pila,2,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pila,2,NA
b-eudesmol,terpene alcohol,108.6,pila,2,NA
Z-11-Tetradecenoic acid,NA,235.3,pila,2,20.83
Z-11-Pentadecenol,NA,128.6,pila,2,NA
Hexahydrofarnesyl acetone,NA,95.1,pila,2,7.96
Geranyl-a-terpinene,NA,NA,pila,2,NA
Palmitoleic acid ,NA,239.2,pila,2,NA
Sclareol,labdane diterpenoid,169%,pila,2,NA
3-carene,bicyclic monoterpene,46,pila,3,NA
a-pinene,monoterpene,33,pila,3,NA
b-pinene,monoterpene,36,pila,3,NA
b-Myrcene,monoterpene,39.4,pila,3,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,3,NA
D-Limonene,cyclic monoterpene,50,pila,3,NA
c-Terpinene,cyclic monoterpene,100,pila,3,NA
2-Carene,bicyclic monoterpene,38,pila,3,NA
Terpinolene,cyclic monoterpene,100,pila,3,NA
Pinocarvone,bicyclic monoterpene,85,pila,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pila,3,NA
Crypton ,Ketone,87.2,pila,3,NA
Dodecanal,Fatty aldehyde,114,pila,3,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pila,3,NA
Eucarvone,monocyclic monoterpenoid,90,pila,3,NA
I-Verbenone,bicyclic ketone terpene,85,pila,3,NA
a-Citrylideneethanol,NA,104.5,pila,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pila,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pila,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,pila,3,NA
2-Undecanone,Ketone,88.9,pila,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pila,3,NA
Terpinyl acetate,methane monoterpenoid,83,pila,3,NA
delta-elemene,sesquiterpene,99.5,pila,3,NA
Ylangene,sesquiterpenoid,105.1,pila,3,14.32
Copaene,sesquiterpenoid,105.1,pila,3,NA
Thujopsene,sesquiterpene,105.9,pila,3,NA
cis-beta-elemene,sesquiterpene,98.3,pila,3,NA
Caryophyllene,sesquiterpene,104.9,pila,3,5.42
a-bergamotene,sesquiterpene,100.6,pila,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pila,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pila,3,6.97
(-)-Aristolene,sesquiterpene,99.9,pila,3,NA
Longifolene-(V4),sesquiterpene,95.6,pila,3,NA
Humulene,sesquiterpene,110.2,pila,3,2.57
c-Muurolene,sesquiterpene,106.5,pila,3,NA
Germacrene D,sesquiterpene,111.9,pila,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pila,3,NA
a-selinene,sesquiterpene,102,pila,3,NA
a-cuparene,benzene,113.3,pila,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pila,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,pila,3,NA
Dodecanoic acid,fatty acid,165,pila,3,17.31
Hedycaryol,terpenoid,110.9,pila,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pila,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pila,3,3.10
b-eudesmol,terpene alcohol,108.6,pila,3,NA
Z-11-Tetradecenoic acid,NA,235.3,pila,3,25.86
Z-11-Pentadecenol,NA,128.6,pila,3,NA
Hexahydrofarnesyl acetone,NA,95.1,pila,3,12.12
Geranyl-a-terpinene,NA,NA,pila,3,NA
Palmitoleic acid ,NA,239.2,pila,3,2.81
Sclareol,labdane diterpenoid,169%,pila,3,NA
3-carene,bicyclic monoterpene,46,pila,4,NA
a-pinene,monoterpene,33,pila,4,NA
b-pinene,monoterpene,36,pila,4,NA
b-Myrcene,monoterpene,39.4,pila,4,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,4,NA
D-Limonene,cyclic monoterpene,50,pila,4,NA
c-Terpinene,cyclic monoterpene,100,pila,4,NA
2-Carene,bicyclic monoterpene,38,pila,4,NA
Terpinolene,cyclic monoterpene,100,pila,4,NA
Pinocarvone,bicyclic monoterpene,85,pila,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pila,4,NA
Crypton ,Ketone,87.2,pila,4,NA
Dodecanal,Fatty aldehyde,114,pila,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pila,4,NA
Eucarvone,monocyclic monoterpenoid,90,pila,4,NA
I-Verbenone,bicyclic ketone terpene,85,pila,4,NA
a-Citrylideneethanol,NA,104.5,pila,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pila,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pila,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,pila,4,NA
2-Undecanone,Ketone,88.9,pila,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pila,4,NA
Terpinyl acetate,methane monoterpenoid,83,pila,4,NA
delta-elemene,sesquiterpene,99.5,pila,4,NA
Ylangene,sesquiterpenoid,105.1,pila,4,NA
Copaene,sesquiterpenoid,105.1,pila,4,NA
Thujopsene,sesquiterpene,105.9,pila,4,NA
cis-beta-elemene,sesquiterpene,98.3,pila,4,NA
Caryophyllene,sesquiterpene,104.9,pila,4,NA
a-bergamotene,sesquiterpene,100.6,pila,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pila,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pila,4,6.74
(-)-Aristolene,sesquiterpene,99.9,pila,4,NA
Longifolene-(V4),sesquiterpene,95.6,pila,4,NA
Humulene,sesquiterpene,110.2,pila,4,NA
c-Muurolene,sesquiterpene,106.5,pila,4,NA
Germacrene D,sesquiterpene,111.9,pila,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pila,4,NA
a-selinene,sesquiterpene,102,pila,4,NA
a-cuparene,benzene,113.3,pila,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pila,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,pila,4,NA
Dodecanoic acid,fatty acid,165,pila,4,30.26
Hedycaryol,terpenoid,110.9,pila,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pila,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pila,4,NA
b-eudesmol,terpene alcohol,108.6,pila,4,NA
Z-11-Tetradecenoic acid,NA,235.3,pila,4,44.13
Z-11-Pentadecenol,NA,128.6,pila,4,NA
Hexahydrofarnesyl acetone,NA,95.1,pila,4,18.87
Geranyl-a-terpinene,NA,NA,pila,4,NA
Palmitoleic acid ,NA,239.2,pila,4,NA
Sclareol,labdane diterpenoid,169%,pila,4,NA
3-carene,bicyclic monoterpene,46,pipo,1,NA
a-pinene,monoterpene,33,pipo,1,4.19
b-pinene,monoterpene,36,pipo,1,NA
b-Myrcene,monoterpene,39.4,pipo,1,NA
a-Phellandrene,cyclic monoterpene,47.2,pipo,1,NA
D-Limonene,cyclic monoterpene,50,pipo,1,NA
c-Terpinene,cyclic monoterpene,100,pipo,1,NA
2-Carene,bicyclic monoterpene,38,pipo,1,NA
Terpinolene,cyclic monoterpene,100,pipo,1,NA
Pinocarvone,bicyclic monoterpene,85,pipo,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pipo,1,NA
Crypton ,Ketone,87.2,pipo,1,NA
Dodecanal,Fatty aldehyde,114,pipo,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pipo,1,NA
Eucarvone,monocyclic monoterpenoid,90,pipo,1,NA
I-Verbenone,bicyclic ketone terpene,85,pipo,1,NA
a-Citrylideneethanol,NA,104.5,pipo,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pipo,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pipo,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,pipo,1,NA
2-Undecanone,Ketone,88.9,pipo,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pipo,1,NA
Terpinyl acetate,methane monoterpenoid,83,pipo,1,NA
delta-elemene,sesquiterpene,99.5,pipo,1,NA
Ylangene,sesquiterpenoid,105.1,pipo,1,NA
Copaene,sesquiterpenoid,105.1,pipo,1,3.85
Thujopsene,sesquiterpene,105.9,pipo,1,NA
cis-beta-elemene,sesquiterpene,98.3,pipo,1,NA
Caryophyllene,sesquiterpene,104.9,pipo,1,7.10
a-bergamotene,sesquiterpene,100.6,pipo,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pipo,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pipo,1,NA
(-)-Aristolene,sesquiterpene,99.9,pipo,1,NA
Longifolene-(V4),sesquiterpene,95.6,pipo,1,NA
Humulene,sesquiterpene,110.2,pipo,1,NA
c-Muurolene,sesquiterpene,106.5,pipo,1,NA
Germacrene D,sesquiterpene,111.9,pipo,1,3.23
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pipo,1,NA
a-selinene,sesquiterpene,102,pipo,1,NA
a-cuparene,benzene,113.3,pipo,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pipo,1,3.68
2-Hydroxycyclopentadecanone,NA,162.8,pipo,1,NA
Dodecanoic acid,fatty acid,165,pipo,1,NA
Hedycaryol,terpenoid,110.9,pipo,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pipo,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pipo,1,NA
b-eudesmol,terpene alcohol,108.6,pipo,1,NA
Z-11-Tetradecenoic acid,NA,235.3,pipo,1,or here
Z-11-Pentadecenol,NA,128.6,pipo,1,35.41
Hexahydrofarnesyl acetone,NA,95.1,pipo,1,18.27
Geranyl-a-terpinene,NA,NA,pipo,1,NA
Palmitoleic acid ,NA,239.2,pipo,1,17.42
Sclareol,labdane diterpenoid,169%,pipo,1,NA
3-carene,bicyclic monoterpene,46,pipo,2,1.50
a-pinene,monoterpene,33,pipo,2,3.59
b-pinene,monoterpene,36,pipo,2,NA
b-Myrcene,monoterpene,39.4,pipo,2,NA
a-Phellandrene,cyclic monoterpene,47.2,pipo,2,NA
D-Limonene,cyclic monoterpene,50,pipo,2,NA
c-Terpinene,cyclic monoterpene,100,pipo,2,NA
2-Carene,bicyclic monoterpene,38,pipo,2,NA
Terpinolene,cyclic monoterpene,100,pipo,2,NA
Pinocarvone,bicyclic monoterpene,85,pipo,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pipo,2,NA
Crypton ,Ketone,87.2,pipo,2,NA
Dodecanal,Fatty aldehyde,114,pipo,2,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pipo,2,NA
Eucarvone,monocyclic monoterpenoid,90,pipo,2,NA
I-Verbenone,bicyclic ketone terpene,85,pipo,2,NA
a-Citrylideneethanol,NA,104.5,pipo,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pipo,2,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pipo,2,NA
Phellandral,monocyclic terpene aldehyde,83.6,pipo,2,NA
2-Undecanone,Ketone,88.9,pipo,2,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pipo,2,NA
Terpinyl acetate,methane monoterpenoid,83,pipo,2,NA
delta-elemene,sesquiterpene,99.5,pipo,2,NA
Ylangene,sesquiterpenoid,105.1,pipo,2,NA
Copaene,sesquiterpenoid,105.1,pipo,2,NA
Thujopsene,sesquiterpene,105.9,pipo,2,NA
cis-beta-elemene,sesquiterpene,98.3,pipo,2,NA
Caryophyllene,sesquiterpene,104.9,pipo,2,8.95
a-bergamotene,sesquiterpene,100.6,pipo,2,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pipo,2,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pipo,2,3.36
(-)-Aristolene,sesquiterpene,99.9,pipo,2,NA
Longifolene-(V4),sesquiterpene,95.6,pipo,2,NA
Humulene,sesquiterpene,110.2,pipo,2,1.77
c-Muurolene,sesquiterpene,106.5,pipo,2,3.37
Germacrene D,sesquiterpene,111.9,pipo,2,9.37
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pipo,2,NA
a-selinene,sesquiterpene,102,pipo,2,NA
a-cuparene,benzene,113.3,pipo,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pipo,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,pipo,2,7.36
Dodecanoic acid,fatty acid,165,pipo,2,NA
Hedycaryol,terpenoid,110.9,pipo,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pipo,2,4.06
Caryophyllene oxide,epoxide sesquiterpene,119.7,pipo,2,NA
b-eudesmol,terpene alcohol,108.6,pipo,2,NA
Z-11-Tetradecenoic acid,NA,235.3,pipo,2,NA
Z-11-Pentadecenol,NA,128.6,pipo,2,8.07
Hexahydrofarnesyl acetone,NA,95.1,pipo,2,9.98
Geranyl-a-terpinene,NA,NA,pipo,2,5.09
Palmitoleic acid ,NA,239.2,pipo,2,NA
Sclareol,labdane diterpenoid,169%,pipo,2,NA
3-carene,bicyclic monoterpene,46,pipo,3,NA
a-pinene,monoterpene,33,pipo,3,NA
b-pinene,monoterpene,36,pipo,3,NA
b-Myrcene,monoterpene,39.4,pipo,3,NA
a-Phellandrene,cyclic monoterpene,47.2,pipo,3,NA
D-Limonene,cyclic monoterpene,50,pipo,3,NA
c-Terpinene,cyclic monoterpene,100,pipo,3,NA
2-Carene,bicyclic monoterpene,38,pipo,3,NA
Terpinolene,cyclic monoterpene,100,pipo,3,NA
Pinocarvone,bicyclic monoterpene,85,pipo,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pipo,3,NA
Crypton ,Ketone,87.2,pipo,3,NA
Dodecanal,Fatty aldehyde,114,pipo,3,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pipo,3,NA
Eucarvone,monocyclic monoterpenoid,90,pipo,3,NA
I-Verbenone,bicyclic ketone terpene,85,pipo,3,NA
a-Citrylideneethanol,NA,104.5,pipo,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pipo,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pipo,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,pipo,3,NA
2-Undecanone,Ketone,88.9,pipo,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pipo,3,NA
Terpinyl acetate,methane monoterpenoid,83,pipo,3,NA
delta-elemene,sesquiterpene,99.5,pipo,3,NA
Ylangene,sesquiterpenoid,105.1,pipo,3,NA
Copaene,sesquiterpenoid,105.1,pipo,3,NA
Thujopsene,sesquiterpene,105.9,pipo,3,NA
cis-beta-elemene,sesquiterpene,98.3,pipo,3,NA
Caryophyllene,sesquiterpene,104.9,pipo,3,5.30
a-bergamotene,sesquiterpene,100.6,pipo,3,1.75
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pipo,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pipo,3,5.75
(-)-Aristolene,sesquiterpene,99.9,pipo,3,NA
Longifolene-(V4),sesquiterpene,95.6,pipo,3,NA
Humulene,sesquiterpene,110.2,pipo,3,7.01
c-Muurolene,sesquiterpene,106.5,pipo,3,NA
Germacrene D,sesquiterpene,111.9,pipo,3,42.47
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pipo,3,NA
a-selinene,sesquiterpene,102,pipo,3,NA
a-cuparene,benzene,113.3,pipo,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pipo,3,11.63
2-Hydroxycyclopentadecanone,NA,162.8,pipo,3,8.14
Dodecanoic acid,fatty acid,165,pipo,3,NA
Hedycaryol,terpenoid,110.9,pipo,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pipo,3,5.24
Caryophyllene oxide,epoxide sesquiterpene,119.7,pipo,3,NA
b-eudesmol,terpene alcohol,108.6,pipo,3,NA
Z-11-Tetradecenoic acid,NA,235.3,pipo,3,NA
Z-11-Pentadecenol,NA,128.6,pipo,3,NA
Hexahydrofarnesyl acetone,NA,95.1,pipo,3,6.75
Geranyl-a-terpinene,NA,NA,pipo,3,5.95
Palmitoleic acid ,NA,239.2,pipo,3,NA
Sclareol,labdane diterpenoid,169%,pipo,3,NA
3-carene,bicyclic monoterpene,46,pipo,4,NA
a-pinene,monoterpene,33,pipo,4,NA
b-pinene,monoterpene,36,pipo,4,NA
b-Myrcene,monoterpene,39.4,pipo,4,NA
a-Phellandrene,cyclic monoterpene,47.2,pipo,4,NA
D-Limonene,cyclic monoterpene,50,pipo,4,NA
c-Terpinene,cyclic monoterpene,100,pipo,4,NA
2-Carene,bicyclic monoterpene,38,pipo,4,NA
Terpinolene,cyclic monoterpene,100,pipo,4,NA
Pinocarvone,bicyclic monoterpene,85,pipo,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pipo,4,NA
Crypton ,Ketone,87.2,pipo,4,NA
Dodecanal,Fatty aldehyde,114,pipo,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pipo,4,NA
Eucarvone,monocyclic monoterpenoid,90,pipo,4,NA
I-Verbenone,bicyclic ketone terpene,85,pipo,4,NA
a-Citrylideneethanol,NA,104.5,pipo,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pipo,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pipo,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,pipo,4,NA
2-Undecanone,Ketone,88.9,pipo,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pipo,4,NA
Terpinyl acetate,methane monoterpenoid,83,pipo,4,NA
delta-elemene,sesquiterpene,99.5,pipo,4,NA
Ylangene,sesquiterpenoid,105.1,pipo,4,11.36
Copaene,sesquiterpenoid,105.1,pipo,4,NA
Thujopsene,sesquiterpene,105.9,pipo,4,NA
cis-beta-elemene,sesquiterpene,98.3,pipo,4,NA
Caryophyllene,sesquiterpene,104.9,pipo,4,7.44
a-bergamotene,sesquiterpene,100.6,pipo,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pipo,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pipo,4,6.06
(-)-Aristolene,sesquiterpene,99.9,pipo,4,NA
Longifolene-(V4),sesquiterpene,95.6,pipo,4,NA
Humulene,sesquiterpene,110.2,pipo,4,NA
c-Muurolene,sesquiterpene,106.5,pipo,4,NA
Germacrene D,sesquiterpene,111.9,pipo,4,6.84
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pipo,4,NA
a-selinene,sesquiterpene,102,pipo,4,NA
a-cuparene,benzene,113.3,pipo,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pipo,4,14.47
2-Hydroxycyclopentadecanone,NA,162.8,pipo,4,NA
Dodecanoic acid,fatty acid,165,pipo,4,NA
Hedycaryol,terpenoid,110.9,pipo,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pipo,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pipo,4,NA
b-eudesmol,terpene alcohol,108.6,pipo,4,NA
Z-11-Tetradecenoic acid,NA,235.3,pipo,4,12.56
Z-11-Pentadecenol,NA,128.6,pipo,4,NA
Hexahydrofarnesyl acetone,NA,95.1,pipo,4,18.69
Geranyl-a-terpinene,NA,NA,pipo,4,NA
